uid,non_webpage_list
CO00275,"[[u'http://lorisaine.org/', u'http://www.facebook.com/pages/Lori-Saine-for-House-District-63/143839132401339', u'http://lorisaine.org/principles/', u'http://www.linkedin.com/pub/lori-saine/10/449/210', u'http://lorisaine.org/2012/03/23/national-spokesman-national-debt-relief-amendment-endorses-saine-for-house/', u'http://www.coloradogopwomen.org/candidate-directory/lori-saine-for-house-district-63', u'http://onyourballot.vote411.org/candidate-detail.do?id=10611126', u'http://www.northernwater.org/docs/NISP/NISPNews/MediaCov2011/TheWestWasWon_Greeley_TribJune12011.pdf', u'http://www.timescall.com/news/ci_20945158/newstip', u'http://grrc.podomatic.com/player/web/2012-09-21T20_32_15-07_00'], [u'http://lorisaine.org/', u'http://www.facebook.com/pages/Lori-Saine-for-House-District-63/143839132401339', u'http://lorisaine.org/80-2/', u'http://www.coloradogopwomen.org/candidate-directory/lori-saine-for-house-district-63', u'http://lorisaine.org/principles/', u'http://www.timescall.com/news/ci_20945158/newstip', u'http://grrc.podomatic.com/player/web/2012-09-21T20_32_15-07_00', u'http://www.coloradohometownweekly.com/opinion/speakingout/ci_20891213/speaking-out', u'http://www.coloradopols.com/diary/18013/2012-primary-preview-part-2-state-house-races', u'http://thevoiceofliberty.us/index.php/home/categories/candidates?format=feed&type=rss'], [u'http://lorisaine.org/', u'http://www.facebook.com/pages/Lori-Saine-for-House-District-63/143839132401339', u'http://lorisaine.org/80-2/', u'http://www.coloradogopwomen.org/candidate-directory/lori-saine-for-house-district-63', u'http://lorisaine.org/2012/03/23/national-spokesman-national-debt-relief-amendment-endorses-saine-for-house/', u'http://www.coloradogopwomen.org/candidate-directory/candidate-directory', u'http://en-gb.facebook.com/elisabeth.grant1', u'http://lorisaine.org/category/uncategorized/', u'http://www.facebook.com/pages/Lori-Saine-for-House-District-63/143839132401339?sk=info', u'http://www.facebook.com/pages/Colorado-Tea-Party/130603343626683'], [u'http://lorisaine.org/80-2/', u'http://www.weldgop.com/?task=races', u'http://lorisaine.org/meet-lori/', u'http://www.coloradohometownweekly.com/opinion/speakingout/ci_20891213/speaking-out', u'http://www.ammoland.com/2012/06/27/colorado-gun-rights-victories-last-night/', u'http://longmontmagazine.com/making-a-local-difference-one-house-and-family-at-a-time/', u'http://www.lipscomb.edu/campuslife/Page/Index/9086', u'http://www.tnhea.org/TN-History-of-Homeschooling.html', u'http://www.coloradopols.com/diary/18013/2012-primary-preview-part-2-state-house-races', u""http://www.cba.org/cba/conf_women/PDF/MB_Branch_Report_Womens'_Forum.pdf""]]"
CO00280,"[[u'http://www.denverda.org/Meet_DA.htm', u'http://www.cafescicolorado.org/Morrissey.htm', u'http://denverpols.com/diary/381/pat-steadman-mitch-morrissey-trade-barbs-on-sb163', u'http://thecoloradoobserver.com/2012/07/death-penalty-vote-looms-large-in-wake-of-aurora-slayings/mitch-morrissey/', u'http://educatingtomorrowslawyers.du.edu/about-etl/etl-advisory-committee/mitch-morrissey/', u'http://abusivediscretion.wordpress.com/2010/09/28/denver-da-mitch-morrissey-will-not-charge-cops-in-jail-homicide-of-marvin-booker/', u'http://www.westword.com/related/to/Mitch+Morrissey/', u'http://blogs.westword.com/latestword/2008/04/documents_outline_da_mitch_mor.php', u'http://www.5280.com/magazine/2006/10/profile-model-organism?page=0,1'], [u'http://blogs.denverpost.com/thespot/topic/mitch-morrissey/', u'http://www.anzaloneresearch.com/campaigns/', u'http://www.coloradostatesman.com/content/993425-denver-democrats-rally-assembly', u'http://www.denverpost.com/commented/ci_21511680?source=commented-', u'http://abusivediscretion.wordpress.com/2010/09/28/denver-da-mitch-morrissey-will-not-charge-cops-in-jail-homicide-of-marvin-booker/', u'http://www.denverpols.com/tag/Paul%20Rosenthal', u'http://denver.cbslocal.com/2012/09/27/police-arrest-suspect-in-fatal-broadway-hit-run/', u'http://www.denverpols.com/tag/Brian%20Watson', u'http://washparkprophet.blogspot.com/2012/03/caucus-day-for-democrats-in-colorado.html', u'http://www.denverpols.com/tag/Dan%20Kagan'], [u'http://www.denverda.org/Meet_DA.htm', u'http://www.cafescicolorado.org/Morrissey.htm', u'http://thecoloradoobserver.com/2012/07/death-penalty-vote-looms-large-in-wake-of-aurora-slayings/mitch-morrissey/', u'http://abusivediscretion.wordpress.com/2010/09/28/denver-da-mitch-morrissey-will-not-charge-cops-in-jail-homicide-of-marvin-booker/', u'http://educatingtomorrowslawyers.du.edu/about-etl/etl-advisory-committee/mitch-morrissey/', u'http://denverpols.com/diary/381/pat-steadman-mitch-morrissey-trade-barbs-on-sb163', u'http://www.westword.com/related/to/Mitch+Morrissey/', u'http://blogs.denverpost.com/thespot/topic/mitch-morrissey/', u'http://www.denverpols.com/tag/Mitch%20Morrissey'], [u'http://denverdemocrats.net/content/mitch-morrissey', u'http://www.denverda.org/dna/Familial_DNA_Database_Searches.htm', u'http://blogs.denverpost.com/thespot/topic/mitch-morrissey/', u'http://law.lclark.edu/live/news/16816-rocky-mountain-victim-law-center-amp-denver', u'http://www.denverdemocrats.net/content/september-meeting-minutes-and-announcements', u'http://denversaic.org/saic_news', u'http://www.denvergov.org/tabid/428965/Default.aspx', u'http://law.lclark.edu/live/news/16660-2012-outstanding-achievement-award-winners', u'http://www.denverleadership.org/pdfs/Final%20Annual%20Report%2008-09%20Volunteers.pdf', u'http://www.havenfriends.org/events/falldinner/']]"
CO00276,"[[u'http://blogs.denverpost.com/thespot/topic/tim-dore/', u'http://www.chieftain.com/politics/dore-makes-run-for-house-district/article_e8b1d80c-0867-11e2-91a5-001a4bcf887a.html', u'http://www.facebook.com/pages/Tim-Dore/196619687101791', u'http://www.linkedin.com/pub/timothy-dore/3/961/5', u'http://onyourballot.vote411.org/candidate-detail.do?id=10736393', u'http://ecrgop.com/index.php?option=com_content&view=article&id=15&Itemid=247', u'http://www.opensecrets.org/pacs/lookup2.php?strID=C00382234'], [u'http://blogs.denverpost.com/thespot/topic/tim-dore/', u'http://www.chieftain.com/politics/dore-makes-run-for-house-district/article_e8b1d80c-0867-11e2-91a5-001a4bcf887a.html', u'http://www.facebook.com/pages/Tim-Dore/196619687101791', u'http://www.opensecrets.org/pacs/lookup2.php?strID=C00382234', u'http://www.coloradofop.org/index.cfm?zone=/unionactive/election_list.cfm', u'http://statebillnews.com/2012/09/under-the-gold-dome-debate-will-infringe-on-i-25-commute/', u'http://thevoiceofliberty.us/index.php/home/categories/candidates?format=feed&type=rss', u'http://www.dioceseofcheyenne.org/Catholic%20Register/2004/OctVG.pdf'], [], [u'http://www.csindy.com/coloradosprings/barred-from-faith/Content?oid=1126391', u'http://www.cuna.org/pol_affairs/direct_voter.html', u'http://articles.nydailynews.com/2011-02-22/local/29441867_1_artists-art-program-rehearsal-space', u'http://www.scribd.com/doc/58996394/NGP-MTN', u'http://www.mwcua.com/index.php?option=com_content&view=article&id=81&Itemid=108', u'http://www.woccu.org/newsroom/releases/Ecuadorians_Study_Trip_to_Colorado_Credit_Unions_Fruitful', u'http://www.mwcua.com/index.php?option=com_content&view=article&id=87&Itemid=110', u'http://www.sjhfdenver.org/assets/Focus_Q32010.pdf']]"
CO00282,"[[u'http://www.4thjudicialda.com/', u'http://www.youtube.com/watch?v=zBSof7o7uPQ', u'http://www.csindy.com/coloradosprings/cannabiz/Content?oid=2519743', u'http://www.huffingtonpost.com/2010/03/02/dan-may-colorado-springs-_n_482172.html', u'http://cannabishealthnewsmagazine.com/legal/1849/activism-at-d-a-dan-mays-office-in-colorado-springs/', u'http://www.gazette.com/articles/newsome-39262-office-district.html', u'http://markandmmj.wordpress.com/2011/07/11/dan-may-and-bob-patient-vs-prosecution/', u'http://jennifergeorgecolorado.com/dan-may-endorses-jennifer-george/', u'http://coconnect.me/tag/dan-may/', u'http://citydesk.freedomblogging.com/tag/district-attorney-dan-may/'], [u'http://coloradoindependent.com/117249/colorado-gop-donors-fly-below-the-radar-with-maze-of-527-committees', u'http://coloradopolitics.freedomblogging.com/2012/06/22/lamborn-campaign-exonerated-over-political-ad-complaint/', u'http://www.4thjudicialda.com/', u'http://www.csindy.com/IndyBlog/archives/2012/06/06/special-prosecutor-to-examine-lamborn-ad', u'http://coloradopolitics.freedomblogging.com/2012/06/06/special-prosecutor-appointed-over-lamborn-political-ad/', u'http://www.csindy.com/coloradosprings/no-appetite/Content?oid=2528072', u'http://www.coloradoconnection.com/news/story.aspx?id=742609', u'http://www.washingtonpost.com/politics/scott-gessler-colorados-honey-badger-may-be-most-closely-watched-election-official/2012/09/20/8277ed6c-f8f2-11e1-8b93-c4f4ab1c8d13_story.html', u'http://www.gazette.com/articles/lamborn-139613-congressman-doug.html', u'http://www.washingtontimes.com/campaign-2012/candidates/daniel-danny-stroud-62366/'], [u'http://cannabishealthnewsmagazine.com/legal/1247/health-or-freedom/', u'http://www.pueblocc.edu/NR/rdonlyres/62ADCFA0-136B-4978-B32C-CF3A4AD62F99/0/AcademyApplicationPacket.pdf', u'http://www.csindy.com/coloradosprings/noted-paige-may-file-ethics-complaint-against-da/Content?oid=1640739', u'http://www.highbeam.com/doc/1G1-118657996.html'], [u'http://www.4thjudicialda.com/', u'http://www.elpasoco.com/', u'http://www.4thjudicialda.com/about1.aspx', u'http://blogs.westword.com/latestword/2012/09/mitt_romney_volunteer_video_reader.php', u'http://www.4thjudicialda.com/about4.aspx', u'http://cannabishealthnewsmagazine.com/category/news/usa-news/colorado/', u'http://www.4thjudicialda.com/staffpics.aspx', u'http://coloradopolitics.freedomblogging.com/2012/06/07/its-not-about-blaha-says-woman-who-filed-complaint-against-lamborn/', u'http://www.csindy.com/coloradosprings/long-story-short/Content?oid=2477279', u'http://kdvr.com/2012/06/26/waldo-canyon-fire-blog-over-350-insurance-claims-filed/']]"
CO00279,"[[u'http://blogs.denverpost.com/thespot/topic/peter-weir/', u'http://www.linkedin.com/pub/dir/Peter/Weir', u'http://www.linkedin.com/pub/pete-weir/35/472/bb', u'http://www.denverda.org/News_Release/Decision_Letters/PS-07-07-16-AgentJayHemphill-Final.pdf', u'http://abcnews.go.com/topics/entertainment/directors/peter-weir.htm', u'http://cdpsweb.state.co.us/', u'http://www.peoplespresscollective.org/2012/09/da-candidate-weir-shares-goals-views-of-drug-policy/'], [u'http://blogs.denverpost.com/thespot/topic/pete-weir/', u'http://www.peoplespresscollective.org/2012/09/da-candidate-weir-shares-goals-views-of-drug-policy/', u'http://blogs.denverpost.com/thespot/2010/05/24/ritters-public-safety-chief-leaving-july-31/10008/', u'http://www.freecolorado.com/', u'http://ariarmstrong.com/2012/09/', u'http://www.jeffcorepublicans.com/', u'http://ariarmstrong.com/category/politics/', u'http://liberty.i2i.org/files/2011/01/IP_1_2011_a.pdf', u'http://www.jeffcopols.com/tag/Tim%20Allport'], [u'http://www.denverpost.com/breakingnews/ci_19197565'], [u'http://jeffco.us/elections/elections_T101_R121.htm', u'http://www.denverfilm.org/filmcenter/detail.aspx?id=24759', u'http://ariarmstrong.com/category/politics/drug-war/', u'http://wiki.calgunsfoundation.org/Peterson_v._LaCabe', u'http://www.du.edu/issues/videos/2010/', u'http://www.denverda.org/News_Release/Decision_Letters/PS-07-07-16-AgentJayHemphill-Final.pdf']]"
CO00284,"[[u'http://www.brucebrownlaw.com/', u'http://www.whitepages.com/name/Bruce-Brown/Colorado', u'http://www.youtube.com/watch?v=2FLqREt1IGw', u'http://wordpress.eagledems.org/', u'http://www.lawrl.com/attorney-profile/bruce-brown-of-counsel-profile', u'http://abusivediscretion.wordpress.com/tag/bruce-brown/', u'http://www.bbb.org/denver/business-reviews/attorneys/bruce-brown-attorney-at-law-in-idaho-springs-co-48000924', u'http://www.summitdaily.com/article/20120726/LETTER/120729901', u'http://www.linkedin.com/pub/bruce-o-brown/7/a6/aa8', u'http://www.peoplesmart.com/find/bruce-brown.html'], [u'http://wordpress.eagledems.org/', u'http://brucebrownforda.com/', u'http://wordpress.eagledems.org/2012/08/diane-in-basalt-today-democrats-luncheon-and-more/', u'http://www.gailschwartz.org/dems-kick-off-election-year-with-dinner/', u'http://wordpress.eagledems.org/page/2/', u'http://www.brucebrownlaw.com/BruceBrownDA/Contact.html', u'http://www.campaignmoney.com/political/contributions/bruce-brown.asp?cycle=10', u'http://eaglegop.com/?tribe_events=debate-colorado-state-reprsentative-and-district-attorney-oct-1st', u'http://www.summitdaily.com/article/20120409/NEWS/120409814', u'http://www.masslive.com/politics/index.ssf/2012/07/us_sen_scott_brown_steps_backs.html'], [u'http://www.brucebrownlaw.com/BruceBrownDA/Privacy.html', u'http://brucebrownforda.com/', u'http://www.brucebrownlaw.com/BruceBrownDA/Endorsements.html', u'http://wordpress.eagledems.org/2012/05/meet-sal-pace-and-important-dates/', u'http://www.brucebrownlaw.com/BruceBrownDA/Schedule.html', u'http://www.summitdaily.com/article/20120820/LETTER/120819778', u'http://www.leadvilleherald.com/free_content/article_4c7aec8e-b57f-11e1-aa03-001a4bcf6878.html', u'http://www.summitdaily.com/article/20120914/NEWS/120919901', u'http://wordpress.eagledems.org/2012/06/this-weeks-events/', u'http://www.vaildaily.com/article/20120823/LETTER/120829951'], [u'http://www.brucebrownlaw.com/BruceBrownDA/Privacy.html', u'http://www.summitdaily.com/article/20120726/LETTER/120729901', u'http://www.brucebrownlaw.com/BruceBrownDA/Endorsements.html', u'http://wordpress.eagledems.org/2012/07/lots-going-on-join-us/', u'http://www.brucebrownlaw.com/article-gooddeed.html', u'http://www.colohsca.org/images/spring09coloradocoach.pdf', u'http://www.brucebrownlaw.com/BruceBrownDA/Contact.html', u'http://soleventollc.com/about/our-founders/', u'http://mayorstevebach.com/category/governance/', u'http://www.clearcreekradio.com/']]"
CO00287,"[[u'http://www.uis.edu/innocenceproject/events/touchdna/documents/ProsExtortionLetter.pdf', u'http://onyourballot.vote411.org/race-detail.do?id=10694031', u'http://www.fcgov.com/', u'http://www.cologop.org/wp-content/uploads/2012/08/Candidate-List.pdf', u'http://larimer.org/da/pr-110727-Canaga-Death.pdf', u'http://www.co.larimer.co.us/boards/brd_members.cfm?board=4', u'https://larimer.org/elections/past/past_ballots/2012_republican_primary.pdf'], [u'http://www.fcgov.com/', u'http://coloradoan-anti-censorship.net/blog/gregg-leverett-19', u'http://coloradoan-anti-censorship.net/blog/gregg-leverett-21', u'http://www.youtube.com/watch?v=8vHmTezwPz4', u'http://www.larimergop.org/', u'http://larimer.org/elections/2012_General_Election_Sample_Ballot.pdf', u'http://www.cologop.org/wp-content/uploads/2012/08/Candidate-List.pdf'], [], [u'http://www.coloradoopenspace.org/ncrtp/instructors.pdf', u'http://www.larimergop.org/', u'http://www.co.larimer.co.us/boards/brd_members.cfm?board=4', u'http://www.courts.state.co.us/Courts/Supreme_Court/Committees/Committee.cfm?Committee_ID=22', u'http://www.larimergop.org/county/2012-candidates', u'http://larimer.org/da/PR-120425_Victim_Service_Awards.pdf']]"
CO00291,"[[u'http://salidacitizen.com/2012/06/thom-ledoux-has-been-recognized-by-da%E2%80%99s-throughout-the-state-of-colorado/', u'http://www.canoncity.com/businesses/committee-re-elect-thom-ledoux-da', u'http://www.canoncitydailyrecord.com/ci_20946419/voters-re-elect-district-attorney-thom-ledoux', u'http://blogs.denverpost.com/coldcases/2012/05/30/accident-homicide-case-divided-investigators-prosecutor/4261/ledoux-3/', u'http://www.skinnymoose.com/annevinnola/2012/05/30/thom-ledoux-for-district-attorney-11th-judicial-district-of-colorado/', u'http://www.linkedin.com/pub/thom-ledoux/24/470/645', u'http://www.da11thjd.org/offices.html', u'http://www.chieftain.com/news/region/legislators-get-earful-from-county-officials/article_6984e5bc-279c-11e1-b12e-0019bb2963f4.html?mode=image&photo=0', u'http://articles.latimes.com/2009/aug/03/nation/na-forced-prosecution3'], [u'http://www.canoncitydailyrecord.com/ci_20714993/district-attorney-thom-ledoux-seeks-re-election', u'http://salidacitizen.com/2012/06/thom-ledoux-has-been-recognized-by-da%E2%80%99s-throughout-the-state-of-colorado/', u'http://www.canoncitydailyrecord.com/ci_20946419/voters-re-elect-district-attorney-thom-ledoux', u'http://www.skinnymoose.com/annevinnola/2012/05/30/thom-ledoux-for-district-attorney-11th-judicial-district-of-colorado/', u'http://www.canoncitydailyrecord.com/ci_20954757/voters-re-elect-district-attorney-thom-ledoux', u'http://www.canoncity.com/businesses/committee-re-elect-thom-ledoux-da', u'http://www.theflume.com/news/article_b774b770-b1b2-11e1-9e53-0019bb30f31a.html', u'http://blogs.denverpost.com/coldcases/2012/05/30/accident-homicide-case-divided-investigators-prosecutor/4261/ledoux-3/', u'http://www.theflume.com/news/article_c80a2598-c00d-11e1-9097-0019bb30f31a.html'], [u'http://www.skinnymoose.com/annevinnola/2012/05/30/thom-ledoux-for-district-attorney-11th-judicial-district-of-colorado/', u'http://www.canoncitydailyrecord.com/ci_20714994/dagna-van-der-jagt-challenges-district-attorney-ledoux', u'http://salidacitizen.com/2012/06/a-stunning-stroll-down-f-street-part-two/', u'http://www.canoncitydailyrecord.com/news/election', u'http://www.facebook.com/ellen.cooney.92', u'http://www.skinnymoose.com/annevinnola/2012/05/', u'http://www.facebook.com/donbendell', u'http://www.facebook.com/ggrantham', u'http://www.facebook.com/JamieElizabethReed'], [u'http://www.chieftain.com/news/region/da-faces-republican-challenger/article_bf25dd80-3833-11e1-ab38-0019bb2963f4.html', u'http://www.rootsweb.ancestry.com/~acwunits/USA%20States%20O-W.html', u'http://votefordagna.com/', u'http://www.canoncitydailyrecord.com/news/election', u'http://vermontcivilwar.org/', u'http://www.findagrave.com/cgi-bin/fg.cgi?page=mr&MRid=46573724', u'http://vermontcivilwar.org/books/zeller.php', u'http://www.qsl.net/rghc/Minutes2012.htm', u'http://vermontcivilwar.org/books/bullyfortheband.php', u'http://bookstore.trafford.com/Products/SKU-000132392/They-Went-to-War.aspx']]"
CO00278,"[[u'http://www.state.co.us/gov_dir/leg_dir/House/members/Hou65.htm', u'http://www.huffingtonpost.com/2012/05/08/jerry-sonnenberg-colorado-drilling-tax_n_1499922.html', u'http://coloradohousegop.com/2011/06/jerry-sonnenberg-hd-65/', u'http://www.cwi.colostate.edu/advisory.asp', u'http://blogs.denverpost.com/thespot/topic/rep-jerry-sonnenberg/', u'http://www.pbs.org/newshour/bb/law/jan-june12/drugtesting_03-20.html', u'http://www.coloradostatesman.com/content/993652-jobs-economy-helped-focus-agenda-conservation', u'http://www.fortmorgantimes.com/fort-morgan-local-news/ci_20656079/state-rep-jerry-sonnenberg-meets-morgan-county-producers', u'http://aksarbent.blogspot.com/2011/04/video-surfaces-of-tantrum-by-anti-gay.html'], [u'http://denver.cbslocal.com/2012/05/07/rep-jerry-sonnenberg-backs-off-colorado-drilling-proposal/', u'http://blogs.denverpost.com/thespot/topic/rep-jerry-sonnenberg/', u'http://blogs.denverpost.com/thespot/2012/03/08/top-chefs-colorado-style-capitol/63103/bipartisan-effort/', u'http://www.journal-advocate.com/sterling-local_news/ci_21558877/logan-county-republicans-steak-fry-ryan-call-cory-gardner-jerry-sonnenberg-gene-meisner-rocky-samber', u'http://www.coloradostatesman.com/content/993652-jobs-economy-helped-focus-agenda-conservation', u'http://www.journal-advocate.com/sterling-local_news/ci_21438323/logan-county-republicans-state-representative-jerry-sonnenberg-election', u'http://www.pbs.org/newshour/bb/law/jan-june12/drugtesting_03-20.html', u'http://www.journal-advocate.com/sterling-local_news/ci_21688508/local-lawmakers-recognized-by-group', u'http://article.wn.com/view/2012/05/08/Jerry_Sonnenberg_Colorado_Representative_Pushes_Drilling_Sev/'], [u'http://www.journal-advocate.com/sterling-letters/ci_19096260', u'http://coloradoacd.org/EndUserFiles/30690.pdf', u'http://www.i2i.org/daarchive2006.php'], [u'http://www.huffingtonpost.com/2012/05/08/jerry-sonnenberg-colorado-drilling-tax_n_1499922.html', u'http://www.hpj.com/archives/2012/jul12/jul16/0516ColoAgLeadershipProgram.cfm', u'http://www.weldgop.com/?task=Candidates&race=house&show=2', u'http://news.developingmindssoftware.com/?p=981', u'http://www.coloradocorn.com/farmcast/farmcast.xml', u'http://usatoday30.usatoday.com/news/opinion/editorials/story/2012-03-18/drug-testing-welfare-applicants/53620604/1?csp=34news&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+News-Opinion+(News+-+Opinion)', u'http://www.cobar.org/repository/Access%20to%20Justice/Greeley_07ATJReport.pdf', u'http://xstatic99645.tripod.com/naisinfocentral/id81.html', u'http://www.patsteadman.com/hb-1125-animal-impound-costs-procedures/', u'http://www.nraila.org/legislation/state-legislation/2012/3/colorado-critical-state-check-repeal-bill-scheduled.aspx']]"
CO00289,"[[u'http://www.martinbeeson.com/', u'http://www.9daco.org/meet-da.html', u'http://www.martinbeeson.com/Pages/Pressrelease.aspx', u'http://contiguglia.wordpress.com/2010/11/30/district-attorney-criticizes-colorado%E2%80%99s-public-defenders/', u'http://www.vaildaily.com/article/20080822/NEWS/80820943', u'http://www.aspentimes.com/article/20101106/COLUMN/101109897', u'http://www.linkedin.com/pub/dir/Martin/Beeson', u'http://www.facebook.com/ReelectCampaign', u'http://federalcriminaldefenseinvestigator.blogspot.com/2010/11/da-stands-by-criticism-levied-against.html', u'http://blog.simplejustice.us/2010/10/28/attitude-and-altitude.aspx'], [u'http://www.aspendailynews.com/section/home/154866', u'http://www.wrhammons.com/beeson-for-congress.htm', u'http://www.postindependent.com/article/20120918/VALLEYNEWS/120919891', u'http://www.martinbeeson.com/', u'http://www.postindependent.com/article/20121004/VALLEYNEWS/121009964/1083&ParentProfile=1074', u'http://www.gjsentinel.com/news/articles/invitation-to-meeting-for-gop-sent-by-email-throug', u'http://www.postindependent.com/SECTION/&profile=1006&parentprofile=1074&startpos=17', u""http://www.wordnik.com/words/life's-blood"", u'http://www.aspentimes.com/article/20101106/column/101109897', u'http://votenoon64.com/endorsements.html'], [u'http://www.postindependent.com/article/20120414/VALLEYNEWS/120419938', u'http://garfieldcountyrepublicans.com/2012/09/21/your-show-sept-23-2012-your-vote-brian-davidson-cu-regent-at-large/', u'http://www.postindependent.com/article/20120323/VALLEYNEWS/120329948', u'http://garfieldcountyrepublicans.com/2011/06/28/welcome-home/', u'http://www.postindependent.com/article/20120917/VALLEYNEWS/120919896', u'http://garfieldcountyrepublicans.com/2012/03/page/2/'], [u'http://www.martinbeeson.com/', u'http://www.cobar.org/opinions/opinion.cfm?opinionid=8537&courtid=2', u'http://www.martinbeeson.com/Pages/INTHENEWS.aspx', u'http://caselaw.findlaw.com/co-supreme-court/1421945.html', u'http://www.martinbeeson.com/Pages/Showyoursupport.aspx', u'http://www.aspentimes.com/article/20120817/NEWS/120819899', u'http://www.martinbeeson.com/Pages/FAMILYPHOTOGALLERY.aspx', u'http://caselaw.findlaw.com/co-supreme-court/1519667.html', u'http://www.sherrycaloiafor9thda.net/in-the-news.html', u'http://www.citizentelegram.com/article/20120920/MISC04/120919973/1064&ParentProfile=1001']]"
CO00283,"[[u'http://www.ucdenver.edu/academics/colleges/medicalschool/departments/pediatrics/subs/neuro/research/Pages/research.aspx', u'http://www.wsmtlaw.com/assets/downloads/pdf/wsmt-turnerflege-press-release.pdf', u'http://www.linkedin.com/pub/scott-turner/15/b68/926', u'http://www.facebook.com/scottturner4da', u'http://www.linkedin.com/pub/scott-turner/2a/534/8b3', u'http://steamboatstpauls.org/our-rector/', u'http://www.linkedin.com/pub/scott-turner/36/ba8/a41', u'http://abusivediscretion.wordpress.com/tag/da-scott-turner/'], [u'http://abusivediscretion.wordpress.com/tag/district-attorney-scott-turner/', u'http://www.linkedin.com/in/akcolorado', u'http://www.facebook.com/scottturner4da', u'http://www.linkedin.com/in/eileenmahony', u'http://eaglegop.com/', u'http://www.vaildaily.com/article/20120924/NEWS/120929936', u'http://eaglegop.com/?tribe_events=debate-colorado-state-reprsentative-and-district-attorney-oct-1st', u'http://www.eaglecounty.us/WorkArea/linkit.aspx?LinkIdentifier=id&ItemID=9304'], [u'http://www.facebook.com/scottturner4da', u'http://cccgop.com/', u'http://adm.elpasoco.com/publicservices/transportation/Documents/2%20January%2018%202012%20Approved%20Minutes.pdf', u'http://www.eaglevalleyenterprise.com/article/20120829/OPINION/120829982', u'http://www.linkedin.com/in/akcolorado', u'http://www.summitdaily.com/article/20120912/NOTES/120919965', u'http://pinterest.com/akcolorado/politics/'], [u'http://www.gccc-crimestoppers.com/about.htm', u'http://www.esf.edu/efb/turner/old%20site/JS_Turner_CV.pdf', u'http://www.facebook.com/scottturner4da', u'http://www.ilovedogs.com/2012/08/volunteer-rescuers-save-injured-dog-left-on-mountain/', u'http://www.lgbtcenters.org/Centers/Alaska/112/Identity-Inc-Gay-and-Lesbian-Community-Center-of-Anchorage.aspx', u'http://www.clearcreekradio.com/', u'http://conservativehideout.com/2012/07/06/lassie-questioned-about-colorado-wildfires/']]"
CO00299,"[[u'http://repdaveyoung.com/', u'http://www.state.co.us/gov_dir/leg_dir/House/members/Hou50.htm', u'http://www.coloradostatesman.com/content/992952-new-state-rep-dave-young-sworn-office', u'http://www.facebook.com/StateRepresentativeDaveYoung', u'http://kdvr.com/author/kdvrdaveyoung/', u'http://blogs.denverpost.com/thespot/topic/dave-young/', u'http://www.whitepages.com/name/David-Young/Colorado', u'http://business.greeleychamber.com/list/member/representative-dave-young-greeley-1875.htm', u'http://www.linkedin.com/in/davey3'], [u'http://www.coloradostatesman.com/content/992952-new-state-rep-dave-young-sworn-office', u'http://www.facebook.com/StateRepresentativeDaveYoung', u'http://blogs.denverpost.com/thespot/topic/dave-young/', u'http://www.campaignmoney.com/political/contributions/david-young.asp?cycle=12', u'http://www.greeleygazette.com/press/?p=21023', u'http://www.campaignmoney.com/political/contributions/david-young.asp?cycle=10', u'http://www.greeleytribune.com/news/2560598-113/evans-forum-forums-carlson', u'http://www.dfer.org/blog/2012/09/dfer_colorado_a.php', u'http://mobile.wnd.com/2012/09/dems-reject-pastor-as-debate-moderator/'], [u'http://repdaveyoung.com/', u'http://stand.org/colorado/action/elect-education-champions/our-picks/dave-young-hd-50', u'http://www.ednewscolorado.org/wp-content/uploads/2012/09/PECExpenditures90412.pdf', u'http://stand.org/colorado/action/elect-education-champions/our-picks', u'http://www.ednewscolorado.org/wp-content/uploads/2012/09/AFTContribsA.pdf', u'http://www.facebook.com/daniel.pabon.9', u'http://openrangeradio.blogspot.com/', u'http://www.huntsvillefencingclub.org/news.htm', u'http://www.facebook.com/steve.lebsock'], [u'http://www.coloradostatesman.com/content/992952-new-state-rep-dave-young-sworn-office', u'http://stand.org/colorado/action/elect-education-champions/our-picks/dave-young-hd-50', u'http://www.advocacydenver.org/tag/dave-young/', u'http://www.facebook.com/notes/colorado-house-majority-project/dave-young-appointed-democratic-state-representative-for-colorado-hd-50/10150239600446722', u'http://repdaveyoung.com/State_Representative_Dave_Young/About_Me.html', u'http://kdvr.com/author/kdvrdaveyoung/page/3/', u'http://www.denversroadhome.org/newsArchive.php?cat_id=11', u'http://www.ccdconline.org/press_release/july-26-2012/colorado-cross-disability-coalition-celebrates-22nd-anniversary-americans', u'http://www.west-inc.com/bios/davidpyoung.html']]"
